,Sentence,Hate-Speech
14144,"ఆధిక్యత ఎంత అనేదే తేలాలన్నారు.
",no
26936,"చిత్ర కథ, అందులో నా పాత్ర, కొత్తగా అనిపించిన క్యారెక్టరైజేషన్ నచ్చి ప్రాజెక్టుకు ఓకే చెప్పాను",no
1463,వారి జట్టు సమతూకంతో ఉంది.,no
9712,మ్యాన్‌ ఆఫ్‌ ద మ్యాచ్‌  హరీశ్‌ 48; 22 బంతుల్లో మెరిశాడు,no
20458,తర్వాత ద్విచక్ర వాహనంపై వేచి ఉన్న మరో వ్యక్తితో కలిసి పరారయ్యాడు,no
6454,"మురిసిన పంజాబ్‌.
",no
26470,రొమాంటిక్ ఎంటర్‌టైనర్‌లోనే ఫన్ ఎలిమెంట్స్ మిళితం చేసి కథ చూపించబోతున్నా అన్నారు,no
14171,"ఇప్ప‌టికే రాష్ట్ర ప్ర‌భుత్వానికి భారీ ఎత్తున కేంద్ర సాయం అందుతున్న విష‌యాన్ని ఎందుకు ప‌రిగ‌ణ‌లోనికి తీసుకోర‌ని నిల‌దీసారు.
",yes
1356,గంగూలీ ఎంత మొత్తుకున్నా చాలా మ్యాచుల్లో అతడి సేవలను వినియోగించుకోకుండా బెంచీకే పరిమితం చేస్తున్నారు.,no
35085,"ఈ రెండు ప్రాజెక్టులు ఫైనలైజ్‌ అయితే అవికా మళ్ళీ టాలీవుడ్‌లో జోరుగా దూసుకుపోవడం ఖాయం.
",no
7870,"అయితే జట్టు స్కోరు 71 వద్ద ధావన్‌ను కీమో పాల్‌ పెవిలియన్‌కు చేర్చాడు.
",no
32754,అగ్రహీరో మహేష్‌ ఇందులో ఐదారు గెటప్‌లలో కనిపించబోతున్నాడని.,no
19544,టీవ్యాలెట్‌ ద్వారా వివిధ శాఖలను అనుసంధానం చేశారు,no
25444,అయితే ఈ సినిమాని అడ్డుకోవాల‌ని మంచు విష్ణు భావిస్తున్న‌ట్టు స‌మాచారం,no
18247,"అయితే ఇప్ప‌టి వ‌ర‌కు ఫెడ‌ర‌ల్ ఫ్రంట్‌లో టిఆర్ ఎస్ వైసీపిలు మిన‌హా ఎలాంటి పార్టీ చేర‌ని ద‌శ‌లో 150 స్ధానాలు ఈ ఫ్రంట్‌కు ఎలా సాధ్య‌మ‌న్న విష‌యం సోష‌ల్ మీడియాలో చ‌ర్చ‌నీయాంశంగా న‌డుస్తోంది.
",no
11034,"జమ్మూకాశ్మీర్‌ రాష్ట్రంలోని షోపియాన్‌ జిల్లా హింద్‌సితాపొరాలో ఎన్‌కౌంటర్‌ జరిగింది.
",no
33061,త్వరలో చేయబోయే ప్రాజెక్ట్స్‌ లో కూడా సాయి శ్రీనివాస్‌ ఇదే లుక్‌లో కనిపించ నున్నాడు.,no
18435,"ఈ ఉత్తరాధికార బాధ్యతలను కిరణ్ కుమార్‌ కు అప్పగించామని స్వరూపానంద వెల్లడించారు.
",no
16622,"రంజాన్ ఉపవాసం పేదవారి ఆకలి విలువ ను తెలియజేసి, దైవభీతి ని పెంపొందిస్తుందన్నారు.
",no
21080,అదే రాత్రి నందిగామకు తిరుగు ప్రయాణమైన వారిద్దరూ కొన్ని గంటలకే పట్టాల మధ్య శవాలై పడి ఉండటాన్ని ఆదివారం ఉదయం హైదరాబాద్‌ నుంచి మహబూబ్‌నగర్‌ వెళుతున్న గూడ్స్‌ రైలు డ్రైవర్‌ గమనించారు,no
306,హర్మన్‌ప్రీత్‌ కెప్టెన్సీ నిర్వహించనున్న జట్టులో ఈ ఏడాది అద్భుత ఫాంలో కొనసాగుతోన్న వెటరన్‌ మిథాలీ రాజ్‌తో పాటు సృతీ మంథానా ఎంపికయారు.,no
24558,"ఏపీ అసెంబ్లీలో రాష్ట్రానికి ప్రత్యేక హోదా అంశం అధికార, విపక్షాల మధ్య వాడీవేడి చర్చకు దారితీసింది",yes
10194,"ఎలవెనిల్‌, అపూర్వి, మేఘనలతో కూడిన భారత జట్టు అగ్రస్థానంలో నిలిచింది",no
19084,"సాయంత్రం అమరావతికి వెళ్లే అవకాశం ఉంది.
",no
29143,ఇలా చాలామందితో కలిసి పని చేసే అవకాశం రావడం నా అద _x005F_x007f_ష్టం” అని చెప్పింది.,no
30068,"మంచి సబ్జెక్ట్‌, తెలుగు ప్రేక్షకులందరికీ బాగా నచ్చుతుంది అని అన్నారు.",no
29744,హీరోయిన్‌గా ప్రస్తుతం మంచి డిమాండ్‌ ఉన్న కన్నడ భామ రష్మిక మందన్ననే ఓకే చేసుకోగా సంగీతం కోసం స్టార్‌ హీరోలకు తప్ప ఇంకెవ్వరికీ అంత సులభంగా దొరకని దేవిశ్రీ ప్రసాద్‌నే సెట్‌ చేసుకుంటున్నారు.,no
15364,"తిరుప‌తిలోని అలిపిరి – చెర్లోప‌ల్లి రోడ్డు అభివృద్ధి ప‌నులు త్వ‌ర‌త గ‌తిన పూర్తి చేయాల‌ని ఇంజినీరింగ్ అధికారుల‌ను ఆదేశించారు.
",no
14792,"పోలవరం ప్రాజెక్టు అంచనాలను టీడీపీ ప్రభుత్వం ఇష్టారాజ్యంగా పెంచేసిందని తెలిపారు.
",no
26774,అంటూ దర్శకుడు హరీశ్ శంకర్ సోషల్ మీడియాలో ఓ పోస్టర్ పోస్ట్ పెట్టాడు,no
10044,16 ఏళ్ల 157 రోజుల వయసున్న బర్మన్‌ హైదరాబాద్‌తో మ్యాచ్‌లో అరంగేట్రంచేసి,no
12516,"ఇతర ఏ సౌకర్యాలు పొందలేరు.
",no
19282,"ఈవీఎంలో డేటా అంతా మైక్రో కంట్రోలర్‌ వద్ద ఉంటుంది,ఇక్కడ నిక్షిప్తమైన డేటాను తుడిచివేసి, రీప్రోగ్రాం చేయవచ్చునని ప్రతిపక్షాలు ఆరోపిస్తున్నాయి",no
25293,ఈసారి ఆ బాధ్య‌త శ‌ర్వానంద్ తీసుకున్న‌ట్టున్నాడు,no
17129,"బుధ‌వారం  తూర్పుగోదావరి జిల్లా, రంపచోడవరం నియోజకవర్గ పరిధిలోని జిల్లా పరిషత్ స్కూళ్లలో సమస్యలు పరిష్కరించాలని కోరుతూ గంధం చంద్రుడు ని క‌లునుకుని శాసన సభ్యురాలు నాగులపల్లి ధనలక్ష్మి    వినతిపత్రం అందజేశారు.
",no
1242,రాత్రి వేళల్లో నిర్ధేశిత సమయం 200 నిమిషాల కంటే ఎక్కువ సేపు మ్యాచ్‌లు జరుగడంతో బీసీసీఐ సమయ నియంత్రణ కోసం ఈ నిర్ణయం తీసుకున్నట్లు బీసీసీఐ వర్గాలు తెలిపాయి.,no
1351,"అతడి పవర్‌ హిట్టింగ్‌, నిలకడ, గెలిపించాలన్న తపన, పోరాట పటిమ అసాధారణం.",no
2061,"ఈ విజయంతో భారత్‌, మూడు విజయాలు ఒక డ్రాతో టేబుల్‌ తొలి స్థానంలో నిలిచింది.",no
6468,"పంజాబ్‌ బౌలర్లలో ముజీబ్‌, షమీ, అశ్విన్‌లకు చెరో వికెట్‌ దక్కింది.
",no
24266,లక్ష్మీని అరెస్టు చేయవద్దని హైకోర్టు ఆదేశాలు జారీ చేసింది,no
22474,ఎస్సైతో వాగ్వివాదానికి దిగారు,no
19715,"ఆసియా లో షాంఘై కాంపోజిట్‌ ఇండెక్స్‌ 0:56శాతం, హాంగ్‌శేంగ్‌ 1:73శాతం,నిక్కీ 0:35శాతం కాస్పి 0:14శాతం నష్టపోయాయి",no
25764,"వాటితో స‌మానంగా రాణించాలంటే, ఈసారి క‌ప్పు వేట‌లో చివ‌రి వ‌ర‌కూ నిల‌బ‌డాలంటే మ‌న బ‌లాల‌కు ప‌దును పెట్టి, బ‌ల‌హీన‌త‌ల్ని అధిగ‌మించాల్సిందే",no
20439,బంధువులు గురువారం రాత్రి ప్రొద్దుటూరు ప్రభుత్వాసుపత్రికి తీసుకురావడంతో విషయం బయటకు పొక్కింది,no
32554,"ఈవీవీగారి సినిమాలు, క _x005F_x007f_ష్ణారెడ్డిగారి సినిమాలు జంధ్యాలగారి సినిమాలను చూస్తే అన్నీ వర్గాల ప్రేక్షకులు నవ్వుతూనే ఉండేవారు.",no
153,మొత్తం 36 మ్యాచ్‌ల్లో 34 ఇన్నింగ్స్‌ ఆడిన స్టార్‌ బ్యాట్స్‌మన్‌ 1632 పరుగులు పూర్తిచేశాడు.,no
25150,"మరి విశ్వసనీయత అంటూ పదేపదే చెప్పే జగన్ ఇపుడు దీన్ని ఏమంటారో చెప్పాలి.
",yes
13934,"ఇందులో నగదు ఒక కోటి ఒక లక్ష పది వేల రూపాయలు లభించగా 110 గ్రాముల బంగారం, 630 గ్రాముల వెండి తో పాటు యూఎస్ఏ డాలర్లు 50,కతర్ సెంట్రల్ బ్యాంకు 11రియల్స్ ,సెంట్రల్ బ్యాంక్ ఆఫ్ సైరియా 1100 పౌండ్లు,ఆస్ట్రేలియా20డాలర్లు,కెనడా 105 డాలర్లు,సెంట్రల్ బ్యాంక్ ఆఫ్ ఒమన్ 200,యు ఏ ఎస్ సెంట్రల్ బ్యాంక్ 10 ధీరహంస్ హుండీలు ద్వారా లభించాయి.
",no
29569,‘నవ్వే నువ్వు ’ అని సాగే ఈ పాటకు మంచి స్పందన లభించింది.,no
26077,"ఆయన హీరో నానికి నచ్చ చెప్పి, డేట్ లు ఇప్పించే పనిలో పడ్డారు",no
1742,"మరి కాసేపటికే ఆదుకుంటారు అనుకున్న కోహ్లి(3), మొయిన్‌ ఆలీ(2) వెనుతిరగ్గా నబీ తన నాలుగో వికెట్‌ రూపంలో దూబే(5)ను ఔట్‌ చేయడంతో బెంగళూరు 35 పరుగులకే 6 వికెట్లు కోల్పోయింది.",no
14863,"తిరుపతిలోని శ్రీ గోవిందరాజస్వామివారి వార్షిక బ్రహ్మోత్సవాల్లో భాగంగా మే 19వ తేదీన ఆదివారం ఉదయం 6 నుండి 10 గంటల వరకు శ్రీ కపిలేశ్వరాలయంలోని ఆళ్వార్‌ తీర్థంలో స్నపనతిరుమంజనం, చక్రస్నానం జరుగనుంది.
",no
19203,"ఈ నిర్ణయంతో గృహ, వాహన రుణాలపై వడ్డీభారం తగ్గనుంది",no
29984,అది నిర్ధారణగా ఎవరూ చెప్పలేదు కానీ కాస్త బలంగా ఈ న్యూస్‌లో ఫిలిం నగర్‌ ప్రచారంలో నలిగింది.,no
24800,"ఈ సందర్భంగా కేసీఆర్ వారికి శుభాకాంక్షలు తెలిపారు.
",no
27511,"నైట్ ఎఫెక్ట్స్, థ్రిల్స్ మొత్తంగా ఆడియన్స్‌కి  విజువల్ ట్రీట్",no
29416,ఆయనపై ఇలాంటి ఆరోపణలు ఎప్పుడూ రాలేదు.,no
271,ఆట 67 నిమిషంలో కొరియా గోల్‌ చేసింది.,no
26755,అయితే ఇందులో విలన్‌గా సీరియస్ చేయడం ఈజీ కానీ కామెడీ చేయడమే కష్టం,no
1962,మరోవైపు ఇప్పటికే నాలుగుసార్లు ప్రపంచకప్‌ టోర్నీకి వేదికైన ఇంగ్లండ్‌ 20 ఏళ్ల తర్వాత ఐదోసారి మెగా టోర్నీకి ఆతిథ్యం ఇస్తోంది.,no
24443,రిక్రియేషన్ పేరుతో వుడాతో పర్మిషన్ తీసుకుని నివాసాలు నిర్మించుకున్నారు,no
33644,అతను చివరగా నటించిన ‘వేలైక్కారన్‌’ కూడా సూపర్‌ హిట్టయింది.,no
13250,"ఆర్టీసలో ఎలక్ట్రికల్ బస్సులు ప్రవేశ పెడితే ఎలాంటి పరిణామాలు చోటు చేసుకుంటాయి.
",no
9058,"తొలిరోజు ఆటముగిసే సమయానికి ఏడు వికెట్ల నష్టానికి 295 పరుగులు చేసిన విండీస్‌ రెండోరోజు కేవలం 16 పరుగులు మాత్రమే జోడించగలిగింది.
",no
22107,రాబోవు రోజుల్లో నాటిన ప్రతి మొక్క పండ్లు ఇచ్చే విధంగా ప్రణాళికను రూపొందించామన్నారు,no
2672,ఇక అక్కడ నుంచి విండీస్‌ వికెట్ల పతనం మొదలైంది.,no
9836,"విశాఖ క్రీడలు, న్యూస్‌టుడే: బీచ్‌ వాలీబాల్‌ ప్రపంచ టూర్‌ టోర్నమెంట్‌ గురువారం విశాఖపట్నంలో ఆర్‌కే బీచ్‌లో ఆరంభమైంది",no
30516,సినిమా విజయం సాధించడానికి ఇలాంటి నీచమైన గిమ్మిక్కులు చేయాల్సిన అవసరం లేదు.,yes
1689,ఇక కెప్టెన్‌గా సర్ఫరాజ్‌ పూర్తిగా విఫమైయ్యాడు.,no
27966,"ఎఫ్‌బిఐ ఆఫీసర్‌ అంటూ అభిమన్యు సింగ్‌ చేసే హడావిడి, పక్కన చిదంబరం క్యారెక్టర్‌ వారు చేసే ఇన్వెస్టిగేషన్‌ చూస్తే నవ్వించడానికి ఇన్ని పాట్లా వైట్లా? అనుకోవాల్సి వస్తుంది",no
22355,ప్రాథమిక వ్యవసాయ సహకార సంఘం పీఏసీఎస్ ల ద్వారా ఎరువులు అందిస్తారు,no
20414,వీరిపై కర్రలతో దాడిచేయడంతో రాజప్ప అక్కడికక్కడే మృతిచెందారు,no
20144,పట్టుకుని వాసన గమనిస్తారు,no
20944,భర్తతో కలిసి పుట్టింటికి వచ్చింది,no
8746,"ఒత్తిడిలో ఎలా ఆడాలన్నది మిథాలీ నుంచి నేర్చుకుంటునట్లు చెప్పుకొచ్చింది.
",no
31886,పంచభూతాల్ని సూచించేలా పొల్లాచ్చి వారణాసి బళ్లారి ఇలా వేర్వేరు ప్రాంతాల్లో ఇప్పటిదాకా ఎవ్వరూ చేయనంత భారీ సన్నివేశాలు రూపొందించామని శ్రీనివాస్‌ చెప్పాడు.,no
17934,"చంద్రబాబు రెండువేల కోట్ల ఇన్ ఫుట్ సబ్సిడీని రైతులకు ఇవ్వలేదని, రుణమాఫీ మీద గత ప్రభుత్వం తప్పుడు ప్రకటనలు చేసిందన్నారు.
",yes
20555,"బ్యాంకు ఖాతా నంబరు, అది నిలిచిపోయిన పక్షంలో ఏటీఎం కార్డు, ఇతర నంబర్లు చెప్పండంటూ ఆ ముఠా సభ్యులు ఫోన్‌లు చేస్తున్నారు",no
11254,"ప్రతి ఏటా చైత్ర మాసంలో జాతర సందర్భంగా నాలుగో రోజున అమ్మవారికి టిటిడి సారె సమర్పించడం ఆనవాయితీగా వస్తోంది.
",no
5817,"విజరు ఎంపిక గురించి మాట్లాడుతూ,అన్ని విషయాలు చర్చించే నిర్ణయం తీసుకున్నాము.
",no
5878,"ప్రతి టెస్టు పెద్ద సవాలే.
",no
33280,కానీ దాని తాలూకు ప్రమోషన్‌ కానీ సందడి కానీ ఆన్‌ లైన్‌లో కూడా కనిపించడం లేదు.,no
452,"విస్డన్‌ క్రికెటర్స్‌గా కోహ్లి, మంధానా.",no
19473,"ప్రస్తుతం అమెరికా కంపెనీలు గూగుల్‌, ఆపిల్‌కు చెందిన ఆండ్రాయిడ్‌, ఐఓఎస్‌ ఆపరేటింగ్‌ సిస్టమ్స్‌ మార్కెట్‌ను ఏలుతున్న సంగతి తెలిసిందే",no
5740,"రెండుసార్లు ఫైనల్‌లో అడుగుపెట్టిన ఆ జట్టు 2016తో విజేతగా నిలిచి 2018ల్లో రన్నరప్‌గా ఉంది.
",no
5259,"ఈ మ్యాచ్‌ ధోనికి ఓవరాల్‌గా 300వ టీ20 కాగా,ఈ ఘనతను అందుకున్న తొలి భారత క్రికెటర్‌గా ఈ మిస్టర్‌ కూల్‌ నిలిచాడు.
",no
8036,"ఇక భారీగా పరుగులు సమర్పించుకున్న బౌలర్‌ హసన్‌ అలీపై సైతం అక్తర్‌ మండిపడ్డాడు.
",yes
8674,"అలా కాకుండా కేఎల్‌ రాహుల్‌ నుంచి జట్టు మేనేజ్‌మెంట్‌ భారీ ఇన్నింగ్స్‌ను కోరుకుంటోంది.
",no
26775,మిక్కీ జె మేయర్ సంగీతం సమకూరుస్తోన్న వాల్మీకి అన్నివర్గాల్లో ఆసక్తి పెంచుతోంది,no
20158,ఈ ఘటన పాతబస్తీలో కలకలం రేపింది,no
15099,"వైసిపిలోకి వెళితే రాజీనామాల నిబంధ‌న‌, ఓ వేళ చేసినా తిరిగి గెలుస్తామ‌న్న ధీమా లేక పోవ‌టంతో బిజెపిలో చేరేందుకు సంసిద్ధ‌త వ్య‌క్తం చేస్తున్న‌ట్టు బిజెపి వ‌ర్గాలే చెపుతున్నాయి.
",no
141,ఆయనకు విశ్రాంతి ఇస్తున్నాం.,no
11888,"ఎంపీ స్థానాల్లోనూ నిరాశే మిగిలింది.
",no
8920,"దీంతో ఈ ద్వైపాక్షిక సిరీస్‌లో ఆసీస్‌కు కనీసం ఒక్క విజయం కూడా లభించలేదు.
",no
34379,సురేష్‌ ప్రొడక్షన్స్‌ వారు ఈ సినిమాకు బ్యాకప్‌ అందించడం ప్రమోషన్స్‌ – రిలీజ్‌ విషయంలో కలిసొచ్చే అంశమే.,no
28228,"ఓ మామూలు రివేంజ్‌ డ్రామా కథకు న్యూయార్క్‌ బ్యాక్‌ డ్రాప్‌ తీసుకొని దర్శకుడు తయారు చేసుకున్న కథనం ఆసక్తికరంగా అనిపించదు.
",no
19076,"ప్రైవేట్ ట్రావెల్స్ యాజమాన్యం ఇలాంటి సంఘటనలు ఎన్ని జరిగినా వారు పట్టీపట్టనట్లు వ్యవహరిస్తున్నారు.
",no
4833,ఈ లీగ్‌లో భారత్‌ నుంచి తొలి సీజన్‌లో ఒక్కడే ఆడగా ఈసారి మాత్రం పలువురు భాగస్వామ్యం అవుతున్నారు.,no
24784,"ఎక్కడ తగ్గాయి అని ఆరాతీస్తున్నారు.
",no
28390,"ప్లస్‌ పాయింట్స్‌ - అల్లు అర్జున్ ,యాక్షన్‌ సీన్స్ ,బ్యాక్‌ గ్రౌండ్‌ మ్యూజిక్‌.
",no
17203,"అలాగే, వైకాపా అధినేత జగన్ మోహన్ రెడ్డి కూడా తన కుటుంబ సభ్యులతో స్విస్ పర్యటనకు వెళ్లి వచ్చారు.
",no
22707,"నిర్మల్ జిల్లాలో 18 ఎంపీపీలకుగాను టీఆర్‌ఎస్ 13, కాంగ్రెస్ 5 గెలుచుకుంది",no
33484,అయితే దీనిపై అధికారికంగా క్లారిటీ ఇవ్వలేదు.,no
7355,"ఆదివారం సూపర్‌ 4 దశ మ్యాచ్‌లోనూ ఆడిన పాక్‌ ప్రదర్శన పెద్దగా ఆకట్టుకునేలా లేదనే సంగతి తెలిసిందే.
",no
29189,బాలాజీ మోహన్‌ ఈ చిత్రానికి దర్శకత్వం వహించారు.,no
28224,"ఇక తెలుగులో టాప్‌ కామెడియన్స్‌గా కొనసాగుతున్న వెన్నెల కిశోర్‌, శ్రీనివాస్‌ రెడ్డిలతో పాటు తిరిగి కామెడీ పాత్రలు చేస్తున్న సునీల్‌లు కొంత మేరకు నవ్వించే ప్రయత్నం చేశారు.
",no
23015,"అయినప్పటికీ మంటలు అదుపులోకి రాకపోవడం తో  పెద్దాపురం, పిఠాపురం నుంచి కూడా అగ్నిమాపక శకటాలను తీసుకొచ్చి మొత్తం 9ఫైరింజన్ల సాయంతో మంటలు అదుపు చేస్తున్నారు",no
21011,"మృతదేహాన్ని జయరామ్‌ మామ గుత్తా పిచ్చయ్యచౌదరి, సోదరి సుశీల, మేనకోడలు, ఇతర బంధువులు, బ్యాంక్‌ అధికారులు పరిశీలించారు",no
33514,మా లుక్‌ను హేళన చేస్తున్నారు.,no
16984,"శుక్ర‌వారం గవర్నర్ ప్రసంగం అనంతరం ఆయ‌న మీడియాతో మాట్లాడుతూ:గవర్నర్ ప్రసంగం ఆశించిన తీరులో లేద‌ని, బ‌డుగు బ‌ల‌హీన వ‌ర్గాల‌లో ఉన్న  చేతి వృత్తుల వారికి ఏం చేస్తామో చెప్ప‌లేద‌ని,  నీటి ప్రాజెక్టుల ప్రస్తావన  అంతా జలయజ్ఞం తరహాలో ఉందని  అన్నారు.
",no
3374,కీలక సమయాల్లో బ్యాట్స్‌ మెన్‌ను ఔట్‌ చేశారు.,no
23153,అప్పుడు నేను హైదరాబాదు లో ఉన్నాను,no
9161,"ఓ భారీషాట్‌కు యత్నించిన పృథ్వీషా (42, 39 బంతులు 4×4, 1×6) లాంగాన్‌లో పరాగ్‌కు చిక్కాడు.
",no
32040,సీనియర్‌ హీరోలు జూనియర్‌ హీరోలు అనే తేడాను నేను ఎప్పుడు పట్టించుకోను అంది.,no
13536,"లోక్ సభ కు ఎన్నికైన రాజ్య సభ సభ్యులు  అమిత్ షా, రవిశంకర్  ప్రసాద్, స్మృతి ఇరానీ త్వరలోనే రాజ్య సభ సభ్యత్వానికి రాజీనామా చేయనున్నారు.
",no
13943,"ఎన్నికల ఫలితాలు వెలువడినప్పటి నుంచి ధనుంజయ్ రెడ్డి  జగన్ క్యాంపు ఆఫీసులో సేవలు అందిస్తున్నారు.
",no
5313,"దుమ్ములేపిన జకోవిచ్‌.
",no
31733,క_x005F_x007f_ష్ణ కిషోర్‌ వ్యాఖ్యానించడం ఆసక్తి రేకెత్తిస్తోంది.,no
16006,"విశాఖ లోక్ సభ స్థానం ఎన్నికలో తన ఓటమికి అనేక కారణాలు ఉన్నాయని…అవన్నీ గుణపాఠాలేనని వ్యాఖ్యానించారు.
",no
8755,"జట్టుకు సిరీస్‌ విజయాన్ని అందించాలని చూస్తున్నాను.
",no
3518,ఇక ఈ ఏడాది మార్చిలో దక్షిణాఫ్రికాతో మూడో టెస్టు సందర్భంగా చోటుచేసుకున్న బాల్‌ ట్యాంపరింగ్‌ ఉదంతం.,no
29488,ఇంతవరకూ ఎప్పుడూ రాని భిన్నమైన కథాంశంతో తెరకెక్కిన ‘అ!’ చిత్రం విమర్శల ప్రశంసలందుకుంది.,no
15503,"కడపలోని పెద్ద దర్గాను దర్శించుకుని ప్రార్ధనలు చేసి చాదర్ సమర్పిస్తారు.
",no
13958,"రాష్ట్రంలోని కోస్తా జిల్లాలైన గంజాం, ఖుర్దా, గజపతి మొదలైన ప్రాంతాల్లో భారీ వర్షాలు కురుస్తున్నాయని, ఈదురు గాలులు వీస్తున్నాయని సేథీ చెప్పారు.
",no
198,మరొకవైపు జో రూట్‌ నెమ్మదించాడు.,no
9520,ఐతే బౌల్ట్‌ తర్వాతి ఓవర్లోనే అతడు ఔటయ్యాడు,no
